Timestamp,Algorithm,TP,FP,FN,Recall,Precision,F1,MOTP
4073.382,M-detector,0,1,25,0.0,0.0,0.0,0.0
4073.482,M-detector,0,1,25,0.0,0.0,0.0,0.0
4073.582,M-detector,0,1,25,0.0,0.0,0.0,0.0
4073.682,M-detector,0,1,25,0.0,0.0,0.0,0.0
4073.782,M-detector,0,1,25,0.0,0.0,0.0,0.0
4073.882,M-detector,1,3,24,0.04,0.25,0.06896551724137932,0.358211278553265
4073.982,M-detector,0,1,25,0.0,0.0,0.0,0.0
4074.082,M-detector,0,1,25,0.0,0.0,0.0,0.0
4074.182,M-detector,0,2,25,0.0,0.0,0.0,0.0
4074.282,M-detector,1,2,24,0.04,0.3333333333333333,0.07142857142857142,0.337563635851351
4074.382,M-detector,0,2,25,0.0,0.0,0.0,0.0
4074.482,M-detector,0,1,25,0.0,0.0,0.0,0.0
4074.582,M-detector,0,1,25,0.0,0.0,0.0,0.0
4074.682,M-detector,0,0,25,0.0,0.0,0.0,0.0
4074.782,M-detector,0,1,25,0.0,0.0,0.0,0.0
4074.882,M-detector,0,1,25,0.0,0.0,0.0,0.0
4074.982,M-detector,0,0,25,0.0,0.0,0.0,0.0
4075.082,M-detector,0,0,25,0.0,0.0,0.0,0.0
4075.182,M-detector,0,2,25,0.0,0.0,0.0,0.0
4075.282,M-detector,0,4,25,0.0,0.0,0.0,0.0
4075.382,M-detector,0,1,25,0.0,0.0,0.0,0.0
4075.482,M-detector,0,1,25,0.0,0.0,0.0,0.0
4075.582,M-detector,0,2,25,0.0,0.0,0.0,0.0
4075.682,M-detector,0,2,25,0.0,0.0,0.0,0.0
4075.782,M-detector,0,0,25,0.0,0.0,0.0,0.0
4075.882,M-detector,0,4,25,0.0,0.0,0.0,0.0
4075.983,M-detector,0,3,25,0.0,0.0,0.0,0.0
4076.082,M-detector,0,3,25,0.0,0.0,0.0,0.0
4076.182,M-detector,0,2,25,0.0,0.0,0.0,0.0
4076.282,M-detector,0,2,25,0.0,0.0,0.0,0.0
4076.382,M-detector,1,1,24,0.04,0.5,0.07407407407407407,0.4487086577795254
4076.482,M-detector,0,1,25,0.0,0.0,0.0,0.0
4076.582,M-detector,0,1,25,0.0,0.0,0.0,0.0
4076.682,M-detector,1,1,24,0.04,0.5,0.07407407407407407,0.37299421464510646
4076.782,M-detector,1,1,24,0.04,0.5,0.07407407407407407,0.41005543577405174
4076.882,M-detector,0,1,25,0.0,0.0,0.0,0.0
4076.982,M-detector,0,1,25,0.0,0.0,0.0,0.0
4077.082,M-detector,1,1,24,0.04,0.5,0.07407407407407407,0.40130700699160365
4077.182,M-detector,0,2,25,0.0,0.0,0.0,0.0
4077.282,M-detector,0,2,25,0.0,0.0,0.0,0.0
4077.382,M-detector,0,1,25,0.0,0.0,0.0,0.0
